USA|01/5/2016|12.00|1000|A1A0|197|200|
ITALY|01/5/2016|6.00|1000|A0B1|200|200|
KSA|01/5/2016|6.00|500|B0F0|200|200|
USA|02/5/2016|12.00|1000|C0B2|200|200|
UAE|02/5/2016|12.00|300|D0C2|200|200|
KSA|02/5/2016|6.00|500|B0C1|200|200|
USA|03/5/2016|12.00|1000|B0BA|120|200|
ITALY|03/5/2016|6.00|1000|A1E2|186|200|
UAE|03/5/2016|12.00|300|F1R0|170|200|
KSA|03/5/2016|6.00|500|C2D1|200|200|
USA|04/5/2016|12.00|1000|F1R0|110|200|`
UAE|04/5/2016|12.00|300|A3C2|100|200|
USA|05/5/2016|12.00|1000|S2A0|46|200|
ITALY|05/5/2016|6.00|1000|D0B1|85|200|
UAE|05/5/2016|12.00|300|G1C2|32|200|
KSA|05/5/2016|6.00|500|E0F0|71|200|
USA|06/5/2016|12.00|1000|W1A0|14|200|
UAE|06/5/2016|12.00|300|N1C2|60|200|
KSA|06/5/2016|6.00|500|M0F0|160|200|
USA|07/5/2016|12.00|1000|Z1A0|200|200|
KSA|07/5/2016|6.00|500|I0F0|9|200|
ITALY|08/5/2016|6.00|1000|P0L1|37|200|
UAE|08/5/2016|12.00|300|H1K2|118|200|
KSA|08/5/2016|6.00|500|B6F0|26|200|
ITALY|09/5/2016|6.00|1000|A0B1|200|200|
UAE|09/5/2016|12.00|300|A1C2|132|200|
KSA|09/5/2016|6.00|500|B0F0|36|200|
USA|10/5/2016|12.00|1000|Z2A0|3|200|
UAE|10/5/2016|12.00|300|K3C2|97|200|
USA|11/5/2016|12.00|1000|A9B8|160|200|
KSA|11/5/2016|6.00|500|B8F9|55|200|
USA|12/5/2016|12.00|1000|A1S2|169|200|
UAE|12/5/2016|12.00|300|A1C2|189|200|
KSA|12/5/2016|6.00|500|B0F0|154|200|
USA|13/5/2016|12.00|1000|MIU2|96|200|
ITALY|13/5/2016|6.00|1000|MJU1|28|200|
KSA|13/5/2016|6.00|500|BGT0|42|200|
USA|14/5/2016|12.00|1000|VFR2|130|200|
ITALY|14/5/2016|6.00|1000|CDR1|200|200|
KSA|14/5/2016|6.00|500|CVC0|121|200|
USA|15/5/2016|12.00|1000|APZ2|36|200|
ITALY|15/5/2016|6.00|1000|OOS1|158|200|
KSA|15/5/2016|6.00|500|OOP0|88|200| 
ITALY|16/5/2016|6.00|1000|MBM1|165|200|
KSA|16/5/2016|6.00|500|TXY0|42|200|
ITALY|17/5/2016|6.00|1000|QRE1|109|200|
UAE|17/5/2016|12.00|300|GAY2|161|200|
KSA|17/5/2016|6.00|500|IEE0|153|200|
USA|18/5/2016|12.00|1000|WEE2|134|200|
ITALY|18/5/2016|6.00|1000|HTM1|65|200|
UAE|18/5/2016|12.00|300|PDF2|97|200|
USA|19/5/2016|12.00|1000|OLP2|13|200|
UAE|19/5/2016|12.00|300|UJM2|0|200|
KSA|19/5/2016|6.00|500|YHN0|22|200|
